factor_code,part_number,quantity
factor_code,part_number,quantity
200.1,9300-300,0.15
200.1,33-4520,0.1
402.2,40-5218,1.0
402.2,9301-210,0.04
401.1,9301-182,1.0
401.1,33-2020,2.0
401.1,33-2000,0.08
360,0002-10,1.0
259,13-1505,1.0
259,15-1645,4.0
259,15-1725,1.0
259,15-2125,1.0
259,15-2126,1.0
259,15-2127,3.0
259,9301-301,1.0
259,9301-250,2.0
461,40-5218,1.0
503.2,9302-240,14.0
503.2,9300-100,0.8
503.2,33-1720,0.23
503.2,33-1160,0.23
503.2,33-1340,20.0
503.2,40-1462,1.0
503.2,33-4521,3.0
503.2,9302-241,1.0
502.1,9302-240,14.0
502.1,9300-100,0.8
502.1,33-1720,0.23
502.1,33-1160,0.23
502.1,9302-181,3.0
502.1,33-1340,22.0
502.1,40-1462,1.0
505.4,9302-240,9.0
505.4,9300-100,0.3
505.4,33-1720,0.08
505.4,33-1160,0.08
505.4,33-1340,15.0
505.4,40-1462,1.0
505.4,9302-243,2.0
505.4,9300-102,2.0
507.6,9302-240,7.0
507.6,9300-100,0.12
507.6,33-1720,0.03
507.6,33-1160,0.03
507.6,33-1180,2.0
507.6,9302-245,2.0
507.6,33-1340,10.0
507.6,40-1462,1.0
400.1,40-5218,1.0
400.1,9301-210,0.12
260,13-1500,1.0
260,15-2120,1.0
260,15-2100,1.0
260,15-2060,4.0
260,15-1640,4.0
260,15-1720,1.0
260,9301-301,1.0
260,9301-250,2.0
505.5,9302-240,9.0
505.5,9300-100,0.3
505.5,33-1720,0.08
505.5,33-1160,0.08
505.5,33-1340,15.0
505.5,40-1462,1.0
505.5,9302-250,2.0
505.5,9302-245,2.0
503.3,9302-241,1.0
503.3,33-1340,20.0
503.3,40-1462,1.0
501.1,9302-240,16.0
501.1,9300-100,1.0
501.1,33-1720,0.31
501.1,33-1160,0.2
501.1,9302-181,3.0
501.1,33-1340,30.0
501.1,40-1462,2.0
399.1,150-180BS,2.0
601.1,40-1502,1.0
160,9300-240,0.05
160,9301-120,0.4
160,9301-140,0.6
261,15-1720,1.0
261,15-2120,1.0
261,15-2100,1.0
261,15-2060,4.0
261,15-1640,4.0
261,9301-301,1.0
261,9301-250,2.0
505.6,9302-240,9.0
505.6,9300-100,0.3
505.6,33-1720,0.08
505.6,33-1160,0.08
505.6,33-1340,15.0
505.6,40-1462,1.0
505.6,9302-243,2.0
505.6,9302-260,2.0
500.1,9302-240,20.0
500.1,9300-100,3.0
500.1,33-1720,0.8
500.1,33-1160,0.6
500.1,9302-274,3.0
500.1,33-1340,40.0
500.1,40-1462,2.0
501.2,9302-240,16.0
501.2,9300-100,1.0
501.2,33-1720,0.31
501.2,33-1160,0.2
501.2,33-4521,3.0
501.2,33-1340,30.0
501.2,40-1462,2.0
400.2,9301-183,1.0
400.2,9301-210,0.12
400.2,9301-241,1.0
600.1,40-1440,1.0
161,9300-240,0.03
161,9301-120,0.75
161,9301-140,0.25
262,15-2120,1.0
262,15-2080,1.0
262,15-2040,2.0
262,15-1640,2.0
262,15-1720,2.0
262,9301-301,1.0
601.2,40-1520,1.0
505.7,9302-240,9.0
505.7,9302-181,3.0
505.7,33-1340,15.0
505.7,40-1462,1.0
500.2,9302-240,20.0
500.2,9300-100,3.0
500.2,33-1720,0.8
500.2,33-1160,0.6
500.2,33-4521,5.0
500.2,33-1340,40.0
500.2,40-1462,2.0
162,9300-240,0.05
162,9301-100,1.0
600.2,40-4090,1.0
498.1,9302-240,30.0
498.1,9300-100,5.0
498.1,33-1720,1.0
498.1,33-1160,1.0
498.1,9302-274,3.0
498.1,33-1340,35.0
498.1,33-1360,1.0
505.8,9302-240,9.0
505.8,9300-100,0.3
505.8,33-1720,0.08
505.8,33-1160,0.08
505.8,9302-241,1.0
505.8,33-1340,15.0
505.8,40-1462,1.0
505.8,33-4521,3.0
396.1,200-180BS,2.0
163,9300-240,0.04
163,9301-100,1.0
505.9,9302-241,1.0
505.9,33-1340,15.0
505.9,40-1462,1.0
395.1,200-180,2.0
164,9301-160,0.008
700,9300-160,1.0
470,33-2520,1.0
470,10-4500,1.0
391.1,125-180BS,2.0
471,33-2520,1.0
370,0002-40,1.0
390.1,125-180,2.0
270,13-1480,1.0
270,15-2020,1.0
270,15-2000,1.0
270,15-1960,4.0
270,15-1620,4.0
270,15-1700,1.0
270,9301-301,1.0
270,9301-250,2.0
371,0002-10,1.0
371,9300-140,1.0
371,11-1440,1.0
371,11-1660,1.0
170,9300-260,0.02
170,9301-100,1.0
373,15-1060,1.0
373,15-1140,1.0
373,20-2120,1.0
373,20-2140,2.0
373,20-2110,1.0
373,26-1300,1.0
171,9300-260,0.04
171,9301-100,1.0
471,10-4500,1.0
172,9301-160,0.01
480,33-1400,1.0
382.1,9301-257,1.0
382.1,9301-210,0.08
382.1,33-2020,2.0
382.1,33-2000,0.08
381.1,9301-182,1.0
381.1,9301-210,0.05
382.2,9301-299,1.0
382.2,9301-210,0.08
382.2,33-2020,2.0
382.2,33-2000,0.08
380,9301-180,1.0
380,9301-210,0.05
380,33-2020,2.0
380,33-2000,0.08
380,12-2248,3.0
380,9301-240,1.0
381.2,32-1001,1.0
381.2,9301-210,0.05
381,40-2146,1.0
381,9301-210,0.06
280,13-1460,1.0
280,15-1920,1.0
280,15-1900,1.0
280,15-1600,4.0
280,15-1680,1.0
280,9301-301,1.0
