factor_code,part_number,quantity
140,33-1961,0.0007
141,33-1961,0.0007
142,33-1961,0.001
143,33-1961,0.0007
144,33-1961,0.0007
144.1,33-1961,0.0007
150,33-1961,0.0007
151,33-1961,0.0007
152,33-1961,0.001
153,33-1961,0.0007
154,33-1961,0.0007
154.1,33-1961,0.0007
160,33-1961,0.0007
161,33-1961,0.0007
162,33-1961,0.001
163,33-1961,0.0007
164,33-1961,0.0007
164.1,33-1961,0.0007
170,33-1961,0.001
171,33-1961,0.0007
172,33-1961,0.0007
172.1,33-1961,0.0007
180,33-1961,0.001
181,33-1961,0.001
182,33-1961,0.001
182.1,33-1961,0.001
185,33-1961,0.001
185.1,33-1961,0.001
186,33-1961,0.001
186.1,33-1961,0.001
186.2,33-1961,0.001
187.2,33-1961,0.001
194,33-1961,0.001
200,33-1961,0.0005
200.1,33-1961,0.0005
201,33-1961,0.0005
201.1,33-1961,0.0005
202,33-1961,0.0005
202.1,33-1961,0.0005
203,33-1961,0.0005
203.1,33-1961,0.0005
204,33-1961,0.0007
204.1,33-1961,0.0007
205,33-1961,0.0007
205.1,33-1961,0.0007
206,33-1961,0.0007
206.1,33-1961,0.0007
207,33-1961,0.0007
207.1,33-1961,0.0007
208,33-1961,0.0007
209,33-1961,0.0007
112,33-1962,0.0007
113,33-1962,0.0005
122,33-1962,0.0007
123,33-1962,0.0005
132,33-1962,0.0007
133,33-1962,0.0005
142,33-1962,0.001
143,33-1962,0.0007
152,33-1962,0.001
153,33-1962,0.0007
162,33-1962,0.001
163,33-1962,0.0007
170,33-1962,0.001
171,33-1962,0.0007
180,33-1962,0.001
181,33-1962,0.001
182,33-1962,0.001
182.1,33-1962,0.001
112,33-1964,0.0007
122,33-1964,0.0007
132,33-1964,0.0007
142,33-1964,0.001
152,33-1964,0.001
162,33-1964,0.001
170,33-1964,0.001
380,33-2000,0.08
380.1,33-2000,0.08
380.2,33-2000,0.08
380.3,33-2000,0.08
380.4,33-2000,0.08
380.6,33-2000,0.08
380.7,33-2000,0.08
382,33-2000,0.08
382.1,33-2000,0.08
382.2,33-2000,0.08
392,33-2000,0.08
397,33-2000,0.08
401,33-2000,0.08
401.1,33-2000,0.08
380,33-2020,2.0
380.1,33-2020,2.0
380.2,33-2020,2.0
380.3,33-2020,2.0
380.4,33-2020,2.0
380.6,33-2020,2.0
380.7,33-2020,2.0
